Name,Price,Auction Name,Date of Sale,Condition,VIN,Mileage,Seller,Documents,Key,Location,Damage,Auction Type,Transmission
"2017 BMW 3 Series, 330I"," Final bid: $6,500",iaai," Wed 25 December, 2024",Run and Drive,WBA8B9G54HNU49082,Milage: 72k miles (116k km),Seller: Progressive Casualty Insurance,Sale doc.:  Original (Texas) ,Key Present,Location: Fort Worth... (TX),Damage: Collision | Front end,Sold by Buy Now,Automatic
"2015 BMW 3 Series, 328I Xdrive", Final bid: ---,iaai," Wed 25 December, 2024",Run and Drive,WBA3B5C53FF960086,Milage: 115k miles (185k km),Seller: Geico Insurance,Sale doc.:  Mv-907a (New york) ,Key Present,Location: Newburgh (NY),Damage: Collision | Right front,Past Auction,Automatic
"2016 BMW 3 Series, 328 Xi Sulev"," Final bid: $2,000",copart," Wed 25 December, 2024",Run and Drive,WBA8E3G53GNU02578,Milage: 165k miles (265k km),Seller: State Farm Insurance,Sale doc.:  ST (Alabama) ,Key Present,Location: Mobile (AL),Damage: Front end,Sold by Buy Now,Automatic
"2015 BMW 3 Series, 328 I Sulev"," Final bid: $2,800",copart," Tue 24 December, 2024",Run and Drive,WBA3C1C5XFK120450,Milage: 113k miles (182k km),Seller: Non-insurance Company,Sale doc.:  CT (Texas) ,Key Present,Location: San Antonio (TX),Damage: Front end,Sold by Buy Now,Automatic
"2017 BMW 3 Series, 330I Xdrive"," Final bid: $2,500",iaai," Tue 24 December, 2024",Stationary,WBA8D9G37HNU62921,Milage: 129k miles (208k km),Seller: Progressive Casualty Insurance,Sale doc.:  Rebuildable (Florida) ,Key Present,Location: Clearwater (FL),Damage: Water | Flood,Sold by Buy Now,Automatic
"2016 BMW 3 Series, 340 XI"," Final bid: $9,650",copart," Tue 24 December, 2024",Run and Drive,WBA8B7G58GNT96003,Milage: 86k miles (138k km),Seller: Progressive,Sale doc.:  PS (Colorado) ,Key Present,Location: Denver Cen... (CO),Damage: Front end,Sold by Buy Now,Automatic
"2013 BMW 3 Series, 320 I Xdrive", Final bid: $350,copart," Tue 24 December, 2024",No information,WBA3C3C55DF980838,Milage: 120k miles (194k km),Seller: State Farm Insurance,Sale doc.:  SC (Illinois) ,Key Present,Location: Chicago South (IL),Damage: Front end,Sold by Buy Now,Automatic
"2017 BMW 3 Series, 330I", Final bid: ---,iaai," Tue 24 December, 2024",Run and Drive,WBA8B9G30HNU56514,Milage: 87k miles (139k km),Seller: Erie Insurance Group,Sale doc.:  Salvage (North Carolina) ,Key Present,Location: Raleigh (NC),Damage: Collision | Front end,Past Auction,Automatic
"2014 BMW 3 Series, 320I I", Final bid: ---,iaai," Tue 24 December, 2024",Stationary,WBA3B1G59ENN90947,Milage: 999k miles (999k km),Seller: Non-insurance Company,Sale doc.:  Clear (Indiana) ,Key Present,Location: Indianapolis (IN),Damage: No information | Normal wear / tear,Past Auction,Automatic
"2013 BMW 3 Series, 328 I Sulev", Final bid: ---,copart," Tue 24 December, 2024",No information,WBA3C1G50DNR48061,Milage: 96k miles (155k km),Seller: Non-insurance Company,Sale doc.:  CT (Texas) ,Key Present,Location: El Paso (TX),Damage: Front end,Past Auction,Automatic
